Profile ID;Organisation;Location;Work Category;
36310;Good Life Ministries;Karnataka, Bangalore;Children - Orphanages;
28792;Good Luck Education Trust;Tamil Nadu, Madurai;Children - Education , Children - Education;
27896;Good Men Educational and Public Charitable Trust;Tamil Nadu, Kancheepuram;Children - Education , Social Welfare;
36680;Good Neighbours India;Karnataka, Bangalore;Social Welfare;
6788;Good News Broadcasting Society;Delhi, Delhi;Social Welfare;
24868;Good News CharitableTrust;Tamil Nadu, Chennai;Children - Education , Social Welfare;
28412;Good News Education Trust;Tamil Nadu, Karur;Children - Education , Social Welfare;
39354;Good News Movement	,;Karnataka, Kolar (KGF);Trusts;
30414;Good News Society;Tamil Nadu, Srivilliputhur;Social Welfare , Social Welfare;
39128;Good News Welfare Society;Karnataka, Hubli;Social Welfare;
24270;Good Sam's Helping Hands;Tamil Nadu, Chengalpattu;Children - Education , Social Welfare;
17842;Good Samaritan;Maharashtra, Pune;Children - Education , Social Welfare;
27816;Good Samaritan (india);Tamil Nadu, Erode;Children - Education , Social Welfare;
1128;Good Samaritan Baptist Ministries (GSBM);Andhra Pradesh, Krishna;Senior Citizens , Women;
24484;Good Samaritan Charitable Trust;Tamil Nadu, Chennai;Children - Education , Social Welfare;
32374;Good Samaritan Educational and Development Science Research Trust;Tamil Nadu, Vellore;Social Welfare , Social Welfare;
16880;Good Samaritan M R E Relief Society;Maharashtra, Nasik;Children - Education , Social Welfare;
16254;Good Samaritan Mission;Maharashtra, Mumbai, Vikhroli (E);Children - Street Children , Poor - Dying Destitutes;
32524;Good Samaritan Rural Development Project;Tamil Nadu, Vellore;Social Welfare , Social Welfare;
27318;Good Samaritan Social Service Society;Tamil Nadu, Dindigul;Social Welfare , Social Welfare;
29702;Good Samaritan Social Trust;Tamil Nadu, Nanguneri;Children - Education , Social Welfare;
31100;good samaritan trust;Tamil Nadu, Thiruvannamalai;Children - Slums , Women;
29384;Good Samaritan Trust;Tamil Nadu, Maduravoyal;Children - Education , Social Welfare;
24870;Good Samaritan Trust;Tamil Nadu, Chennai;Children - Education , Social Welfare;
32192;Good Samaritans;Tamil Nadu, Tuticorin;Social Welfare , Social Welfare;
19364;Good Sheperd Ministry;Nagaland, Kohima;Social Welfare , Social Welfare;
40188;Good Shepherd Convent;Karnataka, Mysore;Social Welfare;
4376;Good Shepherd Education Society;Gujarat, Baroda;Children - Education , Community Development;
26750;Good Shepherd Education Trust;Tamil Nadu, Coimbatore;Children - Education , Social Welfare;
17844;Good Shepherd Homes;Maharashtra, Pune;Social Welfare , Social Welfare;
17946;Good Shepherd Homes;Maharashtra, Pune;Children - Child Guidance Clinic , Children - Education , Children - Street Children;
35956;GOOD SHEPHERD HOMES;Jharkhand, Ranchi;Donors , Senior Citizens;
31204;Good Shepherd Organisation;Tamil Nadu, Thiruvannamalai;Social Welfare , Social Welfare;
31456;Good Shepherd Organization(goson);Tamil Nadu, Thiruvannamalai;Agriculture , Animal Welfare - Cows , Children;
27898;Good Shepherd Orphan Home Charitable Trust;Tamil Nadu, Kancheepuram;Children - Education , Social Welfare;
32194;Good Shepherd School For The Deas (i;Tamil Nadu, Tuticorin;Social Welfare , Social Welfare;
27704;Good shepherd social development trust;Tamil Nadu, Dindigul;Children - Education , Community Development , Rural Development;
28794;Good Shepherd Social Service Society;Tamil Nadu, Madurai;Social Welfare , Social Welfare;
24252;Good Shepherd Social Service Trust;Tamil Nadu, Attur;Senior Citizens;
19282;Good Shepherd Welfare Society;Nagaland, Dimapur;Social Welfare , Social Welfare;
30692;Good Shepherd Women's Social Service Trust;Tamil Nadu, Thekkampatty;Social Welfare , Social Welfare;
28200;Good Vision;Tamil Nadu, Kanyakumari;Social Welfare , Social Welfare;
10396;Goodearth Education Foundation;Delhi, Delhi;Children - Education;
41086;goodlife charity foundation;Kerala, Kannur;Environment;
1884;Goodshepherd;Andhra Pradesh;Social Welfare;
27900;Goodway Foundation;Tamil Nadu, Kancheepuram;Social Welfare , Social Welfare;
7498;GoodWeave;Delhi, Delhi;Children - Education , Human Rights , Human Trafficking;
32650;Goodwill;Tamil Nadu, Villipuram;Social Welfare , Social Welfare;
27392;Goodwill Children's Homes Charitable Society;Tamil Nadu, Dindigul;Children - Education , Social Welfare;
19228;Goodwill Foundation;Mizoram, Aizwal;Community Development;
18574;goodwill foundation Charitable trust;Maharashtra, Thane;Children - Street Children , Disabilities - Mentally - Challenged , Women;
26044;Goodwill Social Trust;Tamil Nadu, Chennai;Medical - HIV / AIDs , Medical - Services;
28796;Goodwill Social Work Centre;Tamil Nadu, Madurai;Social Welfare , Social Welfare;
26648;Goodwill Trust;Tamil Nadu, Chinnamanur;Education - Literacy;
1912;Goolong Sisong Educational Society.;Arunachal Pradesh, Others;Children - Education , Children - Orphanages , Children - Street Children;
33306;Goonge Beharon Ka Vidyalaya;Uttar Pradesh, Kanpur;Disabilities , Disabilities - Hearing - Challenged;
7692;GOONJ..;Delhi, Delhi;Community Development , Donors;
20320;GOPABANDHU VIKASH SOCIETY;Orissa, Cuttack;Children - Education , Rural Development , Vocational Training;
11744;Gopal Kiran Avam Sanskritik Samiti;Madhya Pradesh, Gwalior;Social Welfare , Social Welfare;
40190;Gopala Gowda Shanthaveri Memorial Hospital Trust;Karnataka, Mysore;Medical - Hospital;
34708;Gopali Youth Welfare Society;West Bengal, Kharagpur;Education - Literacy , Empowerment , Human Rights;
35020;Gora Bazar Sahid Khudiram Pathaghar;West Bengal, Murshidabad;Medical - Health;
13974;Gorai Charkop Consumers Forum;Maharashtra, Mumbai, Borivali (W);Business - Marketing , Consumer Rights , Self Help Groups;
4290;Goraj;Gujarat, Baroda;Medical - Health;
14876;GOREGAON YOUTH FOUNDATION;Maharashtra, Mumbai, Goregaon (E);Community Development , Education - Literacy , Medical - Health;
29794;Goshakthi Trust;Tamil Nadu, Pattukottai;Social Welfare , Social Welfare;
1396;Gospel Fellowship (Social Service) Association;Andhra Pradesh, Others;Community Centre , Health - Yoga , Spiritual Development;
504;GOSPEL FOR ABUNDANT LIFE;Andhra Pradesh, Guntur;Social Welfare , Social Welfare;
410;Gospel for India Ministries;Andhra Pradesh, Guntur;Children - Orphanages;
24872;Gospel Friends;Tamil Nadu, Chennai;Social Welfare , Social Welfare;
24404;Gospel Friends International;Tamil Nadu, Chennai;Children , Donors;
17166;Gospel Letter Ministries;Maharashtra, Navi Mumbai;Social Welfare;
34648;Gospel Outreach Welfare Society;West Bengal, Jalpaiguri;Children , Community Development , Social Welfare;
36312;Gospel Revival Outreach Ministries;Karnataka, Bangalore;Children - Orphanages , Women;
24874;Gospel Vision Mission Trust;Tamil Nadu, Chennai;Children - Education , Social Welfare;
32760;Gospel Voice Mission Trust;Tamil Nadu, Virudhunagar;Rural and Urban Development , Youth;
36408;GoSports Foundation;Karnataka, Bangalore;Sports;
38870;Goutam Education Society Anwar;Karnataka, Gulbarga;Children - Education;
2076;goutamroyfansclub;Assam, Hailakandi;Community Development , Disabilities , Family Welfare;
39836;Govanithasharaya Trust;Karnataka, Mangalore;Children - Education;
26168;GOVARDHAN;Tamil Nadu, Chennai;Animal Welfare - Cows , Children , Rural Development;
28798;Govel Trust;Tamil Nadu, Madurai;Children - Education , Social Welfare;
2670;Government Medical College and Hospital;Chandigarh, Chandigarh;Blood donation;
17002;Government of Maharashtra;Maharashtra, Navi Mumbai;Social Welfare;
13790;Government Polytechnic;Maharashtra, Mumbai, Bandra (E);Community Development , Education - Literacy , Vocational Training;
13250;Govidrao Korganki Dharmalya Sanstha;Maharashtra, Kolhapur;Social Welfare , Social Welfare;
31118;Govin Trust;Tamil Nadu, Thiruvannamalai;Social Welfare , Social Welfare;
32376;Govindhammal Anatharakshayam Educational Trust;Tamil Nadu, Vellore;Children - Education , Children - Education;
13362;Govindraj Shikshan Prasarak Mandal;Maharashtra, Latur;Children - Education , Social Welfare;
1614;Govindu Jagannadham Memorial Charitable Trust(Light for Life);Andhra Pradesh, Vijayanagaram;Children - Orphanages , Disabilities - Physically - Challenged , Senior Citizens;
2678;Govt Medical College and Hospital;Chandigarh, Chandigarh;De-addiction;
1616;Govt. General Hospital;Andhra Pradesh, Vijayanagaram;Social Welfare;
1030;Govt. Observation Home;Andhra Pradesh, Hyderabad;Children;
2680;Govt.Institute for Mentally Retarded Children;Chandigarh, Chandigarh;Children , Disaster Management;
40960;Gowda Sarswatha Brahmana Aikya Samiti;Kerala, Changanassery;Art and Culture , Community Centre , Self Help Groups;
39652;Gowrishankar Human Welfare Association;Karnataka, Koppal;Children - Education;
26426;GRACE;Tamil Nadu, Chennai;Social Welfare , Social Welfare;
33364;Grace & Peace Welfare Society;Uttar Pradesh, Lakhimpur(Kheri);Children - Education , Environment , Right to Information ( RTI );
1058;GRACE -  Rehabilitation Agency for Community Empowerment;Andhra Pradesh, Khammam;Children , Community Development;
7244;Grace Action India (GRACE);Delhi, Delhi;Children , Community Development;
26752;Grace and Mercy Mission Trust;Tamil Nadu, Coimbatore;Children - Education , Social Welfare;
26754;Grace Baptist Ministries India Trust;Tamil Nadu, Coimbatore;Children - Education , Social Welfare;
32378;Grace Charitable Trust;Tamil Nadu, Vellore;Children - Education , Social Welfare;
1820;Grace Charitable trust;Andhra Pradesh, Warangal;Children - Education , Children - Orphanages , Children - Street Children;
29566;Grace Child Crae Home, Eckford, Eikhill;Tamil Nadu, Nagercoil;Social Welfare , Social Welfare;
30946;Grace Daniel Educational Trust;Tamil Nadu, Thiruvallur;Children - Education , Social Welfare;
24876;Grace Educational Trust;Tamil Nadu, Chennai;Social Welfare , Social Welfare;
31974;GRACE FOUNDATION;Tamil Nadu, Trichy;Children , Disabilities , Medical - HIV / AIDs;
17168;Grace Gospel Book Centre;Maharashtra, Navi Mumbai;Social Welfare;
1390;Grace Impact Ministries;Andhra Pradesh, Others;Children - Education;
28800;Grace Kenett Foundation;Tamil Nadu, Madurai;Children - Education , Social Welfare;
24878;Grace Kirubalaya Social Welfare Trust;Tamil Nadu, Chennai;Children - Education , Social Welfare;
1226;Grace Ministries;Andhra Pradesh, Kurnool;Community Development , Medical - HIV / AIDs , Social Welfare;
1268;Grace Ministries;Andhra Pradesh, Kurnool;Rural Development , Social Welfare;
5200;Grace Ministries Of India;Gujarat, Junagadh;Community Centre , Community Development;
29598;Grace Mission Trust;Tamil Nadu, Nagercoil;Social Welfare , Social Welfare;
2810;Grace Orphanage;Chhattisgarh, Bhilai;Children - Orphanages;
29322;Grace Peter Charitable Trust;Tamil Nadu, Madurai;Children , Women;
29394;GRACE PETER CHARITABLE TRUST;Tamil Nadu, Maduravoyal;Children;
29308;GRACE PETER CHARITABLE TRUST;Tamil Nadu, Madurai;Children - Education , Disabilities - Physically - Challenged , Empowerment;
27902;Grace Rural Development Awareness Co-operation Education & Foundation;Tamil Nadu, Kancheepuram;Social Welfare , Social Welfare;
29676;Grace Rural Development Society;Tamil Nadu, Namakkal;Social Welfare , Social Welfare;
19410;Grace Society;Nagaland, Mokak Chung;Children - Education , Social Welfare;
24880;Grace to Children Minisstries;Tamil Nadu, Chennai;Children - Education , Social Welfare;
28802;Grace Trust;Tamil Nadu, Madurai;Social Welfare , Social Welfare;
27194;Grace Vision Centre;Tamil Nadu, Dharmapuri;Children - Education , Social Welfare;
27054;Gracetrust;Tamil Nadu, Coonoor;Rural Development , Social Welfare , Vocational Training;
26412;GRACIOUS HOME;Tamil Nadu, Chennai;Children - Education , Children - Orphanages , Senior Citizens;
1344;Gracy Organisation for Developmental services (GODS) an ISO 9001:2008 Certified voluntary organization;Andhra Pradesh, Nizamabad;Disabilities - Hearing - Challenged , Rural Development , Vocational Training;
22238;Graduates Welfare Association Fazilka;Punjab, Firozpur;Children - Education , Environment;
18598;Grahak Heet Sourkshan aani Paryawaran Jatan Sanstha);Maharashtra, Thane;Community Development , Consumer Rights , Environment;
18076;Grahak Raja Jaga Ho;Maharashtra, Pune;Consumer Rights , Corruption , Right to Information ( RTI );
37590;GRAHAK SHAKTI;Karnataka, Bangalore;Capacity Building , Consumer Rights , Consumer Rights;
39080;Grahakara Hakku Mahitigala Jagarana Vedike;Karnataka, Hubli;Consumer Rights , Right to Information ( RTI ) , Social Welfare;
39082;GRAHAKARA HAKKU MAHITIGALA JAGARANA VEDIKE;Karnataka, Hubli;Consumer Rights , Corruption , Right to Information ( RTI );
31800;Grail Trust (india);Tamil Nadu, Tirunelveli;Social Welfare , Social Welfare;
3160;gram adhikar manch chhattisgarh;Chhattisgarh, Raipur;Legal Aid , Networks , Right to Information ( RTI );
5298;Gram Bharati;Gujarat, Mehsana;Children - Education , Social Welfare;
11216;Gram Bharati Mahila Mandal;Madhya Pradesh, Betul;Social Welfare , Social Welfare;
22912;Gram Bharati Samiti (GBS);Rajasthan, Jaipur;Human Rights , Rural Development;
8550;Gram Bikas Avm Samajik Badlav Kendra;Delhi, Delhi;Community Development;
23322;Gram Chetna Kendra;Rajasthan, Jaipur;Community Development;
17846;Gram Gorav Pratisthan;Maharashtra, Pune;Social Welfare , Social Welfare;
19082;Gram Jyot Samajsevi Sanstha;Maharashtra, Yeotmal;Children - Education , Social Welfare;
11634;Gram Kalyan Sewa Samiti;Madhya Pradesh, Chindara;Social Welfare , Social Welfare;
4800;Gram Nirman Kelavni Mandal, Thava;Gujarat, Bharuch;Art and Culture , Education - Literacy , Social Welfare;
4814;Gram Nriman Kelvani Mandal;Gujarat, Bharuch;Social Welfare;
38130;Gram Parivarthan Kendra;Karnataka, Belgaum;Children - Education;
2500;Gram Praudyogik Vikas Sansthan;Bihar, Patna;Children , Children - Education , Documentation Centre;
23974;Gram Punar Rachana Parishad;Rajasthan, Udaipur;Community Development;
17848;Gram Rajya Trust;Maharashtra, Pune;Social Welfare , Social Welfare;
4892;Gram Seva Family Welfare Project;Gujarat, Bhavnagar;Children - Education , Social Welfare;
5300;Gram Seva Mandal;Gujarat, Mehsana;Children - Education , Social Welfare;
6080;Gram Seva Sabha;Gujarat, Valsad;Social Welfare , Social Welfare;
11830;Gram Seva Samiti;Madhya Pradesh, Hoshangabad;Children - Education , Children - Education;
29796;Gram Seva Sangam;Tamil Nadu, Pattukottai;Social Welfare , Social Welfare;
5378;Gram Seva Trust;Gujarat, Navsari;Community Development , Women;
12298;Gram Seva Trust - Madhya Pradesh;Madhya Pradesh, Others;ICT - Information and Communication Technology , Networks , Rural Development;
16690;Gram Sewa Sangh;Maharashtra, Nagpur;Children - Education , Social Welfare;
8552;Gram Shiksha Sudahar Samiti;Delhi, Delhi;Children - Education;
4950;Gram Swaraj Sangh;Gujarat, Bhuj-Kutch;Children - Education , Social Welfare;
19014;Gram Swaraj Seva Trust;Maharashtra, Wardha;Social Welfare , Social Welfare;
4776;gram swaraj u.b.vidhyalaya;Gujarat, Bayad;Agriculture , Business - NGO Products , Children - Education;
11632;Gram Utthan Seva Sangh;Madhya Pradesh, Chindara;Children - Education , Social Welfare;
17596;GRAM VARDHINI;Maharashtra, Pune;Rural Development;
3724;Gram vikas;Gujarat, Ahmedabad;Afforestation;
18268;Gram Vikas Bahuuddeshiya Sanstha;Maharashtra, Sangli;Social Welfare , Social Welfare;
3204;Gram Vikas Evam Yuva Kalyan Sansthan;Chhattisgarh, Sarguja;Social Welfare , Social Welfare;
11002;Gram Vikas Foundation of India;Delhi, Delhi;Animal Welfare - Cows , Environment , Rural Development;
17218;Gram Vikas Kukat Palan Sahkari Sanstha;Maharashtra, Osmanabad;Social Welfare , Social Welfare;
18190;Gram Vikas Mandal;Maharashtra, Ratnagiri;Social Welfare , Social Welfare;
13052;Gram Vikas Mandal;Maharashtra, Dhule;Social Welfare , Social Welfare;
16862;Gram Vikas Mandal Molagi;Maharashtra, Nandurbar;Children - Education , Social Welfare;
18164;Gram Vikas Mandal, Nadgaon;Maharashtra, Rajgurunagar;Social Welfare , Social Welfare;
2878;Gram Vikas Mandali Association Trust;Chhattisgarh;Social Welfare , Social Welfare;
5438;Gram Vikas Mandli Association Trust;Gujarat, Navsari;Children - Education , Community Development;
23320;Gram Vikas Navyuvak Mandal Laporia;Rajasthan, Jaipur;Rural Development;
17326;Gram Vikas Samajik Arthik Sanskritik Yuwak Seva Bhavi;Maharashtra, Parbhani;Children - Education , Social Welfare;
23968;Gram Vikas Samiti;Rajasthan, Udaipur;Children - Education;
23600;Gram Vikas Seva Sansthan;Rajasthan, Jodhpur;Rural and Urban Development;
5750;Gram Vikas Seva Trust;Gujarat, Sabarkantha;Social Welfare , Social Welfare;
5752;Gram Vikas Seva Trust;Gujarat, Sabarkantha;Children - Education , Community Development;
12978;Gram Vikas Sewa Mandal;Maharashtra, Chandrapur;Social Welfare , Social Welfare;
4798;Gram Vikas Trust;Gujarat, Bharuch;Children - Education , Medical - Health;
2246;Gram Vikash Parishad;Bihar, Madhubani;Rural Development , Self Help Groups , Women;
36034;Gram Vikash Vidya Samasthe;Karnataka, Bagalkot;Children - Education;
4118;gram vilasa;Gujarat, Ahmedabad;Social Welfare;
34148;Gram-Anchal Centre for Rural Development;Uttaranchal, Pauri;Agriculture , Business - NGO Products , Children - Education;
40706;Grama Jeevan Rural Education Trust;Karnataka, Tumkur;Social Welfare;
29798;Grama Munnetra Sangam;Tamil Nadu, Pattukottai;Social Welfare , Social Welfare;
29306;Grama Pengal Munnetra Sangam;Tamil Nadu, Madurai;Social Welfare , Social Welfare;
27672;Grama Pengal Munnetra Sangam;Tamil Nadu, Dindigul;Social Welfare , Social Welfare;
27612;Grama Pengal Munnetra Sangam Society;Tamil Nadu, Dindigul;Children , Empowerment , Women;
38872;Grama Pragati Seva Samithy;Karnataka, Gulbarga;Social Welfare;
27394;Grama Reconstruction And Extensive Action Trust;Tamil Nadu, Dindigul;Children - Education , Social Welfare;
27396;Grama Samuga Sevai Sangam;Tamil Nadu, Dindigul;Social Welfare , Social Welfare;
29812;Grama Seva Kendra;Tamil Nadu, Pattukottai;Social Welfare , Social Welfare;
26756;Grama Seva Sangh;Tamil Nadu, Coimbatore;Children - Education , Social Welfare;
222;Grama Swarajya Samastha;Andhra Pradesh, Chittoor;Community Development , Rural Development , Self Help Groups;
38832;Grama Swarajya Sangh Shorapur;Karnataka, Gulbarga;Children - Education;
30674;Grama Vidial Trust;Tamil Nadu, Thekkampatty;Social Welfare , Social Welfare;
39624;Grama Vikas;Karnataka, Kolar (KGF);Rural Development , Women;
41226;GRAMA VIKASANA SEVA SAMITHI;Kerala, Pala;Microfinance , Self Help Groups , Sustainable Development;
29800;Grama Vivasaya Matrum Membattu Sangam;Tamil Nadu, Pattukottai;Social Welfare , Social Welfare;
39356;Gramabhivrudhi Pradhana Sangha;Karnataka, Kolar (KGF);Rural Development;
38132;Gramachetana;Karnataka, Belgaum;Social Welfare;
30398;Gramadhana Nirmana Sangam (GNS);Tamil Nadu, Sivagangai;Agriculture , Self Help Groups , Social Welfare;
18380;Gramain Krushi Va Paryavaran Vikas Pratisthan;Maharashtra, Sholapur;Children - Education , Social Welfare;
31956;Gramalaya;Tamil Nadu, Trichy;Social Welfare , Social Welfare;
442;Gramasiri;Andhra Pradesh, Guntur;Rural Development;
17676;GRAMAYAN;Maharashtra, Pune;Rural Development;
17850;Gramayan;Maharashtra, Pune;Social Welfare , Social Welfare;
12780;Gramayan Kamlesh Society;Maharashtra, Aurangabad;Social Welfare , Social Welfare;
5700;Grambharti;Gujarat, Rajpipla;Agriculture , Community Development , Social Welfare;
33476;grameen berojgar yuwak kalyan samiti;Uttar Pradesh, Lucknow;Business - Business Development Services , Business - NGO Products , Children - Slums;
33392;grameen berojgaryuvk kalyan samiti;Uttar Pradesh, Lucknow;Agriculture , Behavioural Sciences , Community Centre;
13868;Grameen Creative Lab;Maharashtra, Mumbai, Bandra (W);Sustainable Development;
22602;Grameen Evam Samudayik Vikas Sanstha, Alwar;Rajasthan, Alwar;Agriculture , Social Welfare;
35298;Grameen Kalyan Mandal;Himachal Pradesh, Kurali;Social Welfare , Social Welfare;
39358;Grameen Mahila Vikas;Karnataka, Kolar (KGF);Social Welfare;
33256;GRAMEEN MANAV VIKAS SANSTHAN;Uttar Pradesh, Kannauj;Children , Rural and Urban Development , Women;
19084;Grameen Samasya Mukti Trust;Maharashtra, Yeotmal;Children - Education , Social Welfare;
2980;Grameen Seva Sanstha;Chhattisgarh, Korba;Social Welfare , Social Welfare;
10352;Grameen Shiksha Avam Sahayata Association;Delhi, Delhi;Community Development , Self - Employment , Self Help Groups;
13372;Grameen Shramik Pratishthan;Maharashtra, Latur;Business - NGO Products , Disabilities - Visually - Challenged , Rural Development;
13658;Grameen Surya Bijlee Foundation;Maharashtra, Mumbai, Andheri (W);Children - Education , Rural Development , Rural and Urban Development;
2922;Grameen Vikas Karyakaram;Chhattisgarh, Champa;Children - Education , Social Welfare;
32940;Grameen Vikas Sansthan;Uttar Pradesh, Allahabad;Social Welfare;
32912;Grameen Vikas Snsthan;Uttar Pradesh, Allahabad;Social Welfare;
40480;Grameena Mahila Abhivruddi & Shikshana Samsthe;Karnataka, Raichur;Social Welfare;
39360;Grameena Mahila Okkuta;Karnataka, Kolar (KGF);Social Welfare;
210;GRAMEENVIKAS;Andhra Pradesh, Anantapur;Agriculture , Children - Education , Health - Yoga;
26758;Grameeya Makkal Abivirudhi Iyakkam;Tamil Nadu, Coimbatore;Children - Education , Social Welfare;
11626;Gramin Adiwasi Samaj Vikas Sansthan;Madhya Pradesh, Chindara;Children - Education , Disabilities , Empowerment;
17256;Gramin Arogya Vikas Trust Kurundwad;Maharashtra, Others, Others;Medical - Hospital , Medical - Mobile Clinics , Medical - Trauma Care;
17258;Gramin Arogya Vikas Trust Kurundwad;Maharashtra, Others, Others;Medical - Hospital , Medical - Mobile Clinics , Medical - Trauma Care;
2506;Gramin Evam Nagar Vikas Parishad;Bihar, Patna;Community Development , Women;
13046;Gramin Janseva Shikshan Sanstha;Maharashtra, Dhule;Children - Education , Social Welfare;
11174;Gramin Kalyan Sansthan;Madhya Pradesh, Badwah;Social Welfare , Social Welfare;
12548;Gramin Lok Seva Prakalp;Maharashtra, Ahmednagar;Social Welfare , Social Welfare;
18160;Gramin Lok Sewa Mandal;Maharashtra, Rajapur;Children - Education , Social Welfare;
22774;Gramin Lok Vikas Sansthan;Rajasthan, Bharatpur;Rural Development;
13364;Gramin Mahila Vikas Sanstha;Maharashtra, Latur;Social Welfare , Social Welfare;
23626;Gramin Mahila Vikas Sansthan;Rajasthan, Kishangarh;Children - Education , Women;
1970;GRAMIN MAHILA VIKASH NIDHI;Assam, Guwahati;Microfinance , Rural Development , Women;
23046;Gramin Manav Kalyan Shikshan Sansthan;Rajasthan, Jaipur;Education - Literacy;
12984;Gramin Manav Sansadhan Va Yuva Vikas Sanstha Bhadrawati;Maharashtra, Chandrapur;Community Development , Vocational Training , Youth;
12962;gramin manav sansadhan va yuva vikas sanstha bhadrawati dist. chandrapur (m.s.);Maharashtra, Chandrapur;Children - Education , Children - Education , Disabilities;
17230;Gramin Punarrachana Kendra;Maharashtra, Osmanabad;Children - Education , Social Welfare;
2638;GRAMIN SAMAJ KALYAN SANSTHAN;Bihar, Samastipur;Capacity Building , Rural Development , Self Help Groups;
23442;Gramin Samajik Evam Sanskritik Research Sansthan;Rajasthan, Jhunjhunu;Rural Development;
22882;gramin seva sanstha;Rajasthan, Churu;Disabilities - Physically - Challenged , Rural Development , Youth;
13310;Gramin Sharamik Pratisthan, Budhopa;Maharashtra, Latur;Social Welfare , Social Welfare;
23748;Gramin Shiksha Kendra;Rajasthan, Sawai Madhopur;Capacity Building , Children - Education , Rural Development;
16788;Gramin Shikshan Prasapak Mandal;Maharashtra, Nanded;Social Welfare , Social Welfare;
13088;Gramin Shishanik Va Sanskrutik Vikas Mandal;Maharashtra, Gadchiroli;Children - Education , Social Welfare;
8554;Gramin Swabhiman;Delhi, Delhi;Rural Development;
19002;Gramin Udyagikaran Sangh;Maharashtra, Wardha;Children - Education , Social Welfare;
12704;Gramin Vikas Bahuudeshiya Krida Sansthan;Maharashtra, Amravati;Children - Education , Social Welfare;
23690;Gramin Vikas Khadi Samiti;Rajasthan, Nagor;Rural Development;
13366;Gramin Vikas Mahila Mandal;Maharashtra, Latur;Social Welfare , Social Welfare;
16692;Gramin Vikas Manch;Maharashtra, Nagpur;Social Welfare , Social Welfare;
12648;Gramin Vikas Mandal,Ambajogai;Maharashtra, Ambajogai;Environment , Medical - Health;
2970;GRAMIN VIKAS PARISHAD PATHALGAON;Chhattisgarh, Jashpur;Community Development , Education - Slow Learners , Medical - HIV / AIDs;
3058;Gramin Vikas Pratishthan;Chhattisgarh, Raipur;Social Welfare , Social Welfare;
23028;Gramin Vikas Samiti Brijlalanagar (GVSB);Rajasthan, Jaipur;Children - Education , Women;
23440;Gramin Vikas Samiti Niradhanu;Rajasthan, Jhunjhunu;Rural Development;
22906;Gramin Vikas Sangthan;Rajasthan, Dungarpur;Rural Development;
33022;Gramin Vikas Sansthan;Uttar Pradesh, Banda;Community Development , Medical - Health , Rural and Urban Development;
11662;Gramin Vikas Sansthan - Chitrakoot;Madhya Pradesh, Chitrakoot;Ambulance , Community Development , Environment - Asbestos Dangers;
23680;Gramin Vikas Sansthan - Nagore;Rajasthan, Nagor;Rural Development;
23452;Gramin Vikas Sansthan, Jhunjhunu;Rajasthan, Jhunjhunu;Rural Development;
34218;Gramin Vikas Sewa Sanstha;West Bengal, Barasat;Community Development , Community Development;
5458;Gramin Vikas Trust;Gujarat, Palanpur;Children - Education , Medical - Health , Women;
33784;Gramin Vikas Trust - Noida;Uttar Pradesh, Noida;Community Development , Environment;
23504;Gramin Vikas Vigyan Samiti;Rajasthan, Jodhpur;Library;
12072;Gramin Yuva Mandal;Madhya Pradesh, Indore;Medical - Services , Rural and Urban Development , Social Welfare;
12898;Gramin Yuva Pragatik Mandal;Maharashtra, Bhandara;Agriculture , Women , Youth;
6350;Gramin Yuva Shiksha Samiti;Haryana;Children - Education , Community Development , Governance;
38682;GRAMINA ABHIVRUDHI MATHU ADHYAYANA KENDRA TRUST;Karnataka, Chitradurga;Community Development , Environment , Microfinance;
12752;graminbharat;Maharashtra, Aurangabad;Legal Aid;
28414;Gramium;Tamil Nadu, Karur;Social Welfare , Social Welfare;
27398;Gramiya Educational Development Trust;Tamil Nadu, Dindigul;Children - Education , Social Welfare;
24468;Gramiya Munnetra Sangam;Tamil Nadu, Chennai;Children - Education , Social Welfare;
29464;Gramiya Social Welfare Society;Tamil Nadu, Nagapattinam;Social Welfare , Social Welfare;
11100;Gramkalp Foundation;Delhi, Delhi;Right to Information ( RTI ) , Rural and Urban Development , Women;
40708;Gramkalyana Gurukrupa;Karnataka, Tumkur;Social Welfare;
36958;Gramma Swaraj Samithi;Karnataka, Bangalore;Social Welfare;
30598;Gramodaya;Tamil Nadu, Thakkalai;Social Welfare , Social Welfare;
22840;Gramodaya Samajik Sansthan;Rajasthan, Chaksu;Children - Education , Community Development , Environment;
22844;Gramodaya Samajik Sansthan;Rajasthan, Chaksu;Children , Children - Education , Women;
35838;Gramodaya Sansthan;Jharkhand, Dumka;Community Development , Environment;
2932;Gramodaya Sewa Sansthan;Chhattisgarh, Dantewada;Social Welfare , Social Welfare;
32196;Gramodhaya Social Service Society;Tamil Nadu, Tuticorin;Social Welfare , Social Welfare;
18290;Grampari;Maharashtra, Satara;Empowerment , Environment , Rural Development;
28538;GRAMRAJ INDIA MOVEMENT;Tamil Nadu, Kovilpatti;Communal Harmony , Environment , Women;
5048;Gramya Vikas Trust;Gujarat, Dwaraka;Empowerment , Women;
16826;Grand Education Society Nanded;Maharashtra, Nanded;Business - Business Development Services , Education - Literacy , Rural and Urban Development;
8556;Grand Lodge Of India	-;Delhi, Delhi;Trusts;
8558;Grand Lodge of India Fund of Benevolence;Delhi, Delhi;Children - Education;
